"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",3,16.431676725155,90,0
"bare ground",7.1,11.1767924582669,50,0
"Bare Ground",0.416666666666667,2.28217732293819,12.5,0
"broad-leaved arrowhead",2,5.76553374028327,25,0
"Canada thistle ",0.0666666666666667,0.365148371670111,2,0
"coast silverweed",2.03333333333333,6.09965139384513,30,0
"common cattail",2.36666666666667,6.56260741565074,32,0
"common dandelion",0.0333333333333333,0.182574185835055,1,0
"common horsetail",0.0333333333333333,0.182574185835055,1,0
"common spike-rush",6.15,11.3890071015265,45,0
"creeping bentgrass",7.76666666666667,14.6303494981077,70,0
"Douglas' aster",0.166666666666667,0.647719252365604,3,0
"horehound",0.35,1.26729415794385,5,0
"jointed rush",0.05,0.201288949968224,1,0
"log",1.16666666666667,4.85715493092289,25,0
"Lyngbye's sedge ",46.3666666666667,40.7519691365429,100,0
"nodding beggarticks",0.0333333333333333,0.182574185835055,1,0
"pond water-starwort",0.0666666666666667,0.217086242727652,1,0
"purple-leaved willowherb",0.0333333333333333,0.182574185835055,1,0
"purple loosestrife",3.9,10.5971694333912,42,0
"reed canarygrass",10.2333333333333,22.5658932956328,90,0
"rice cutgrass",0.966666666666667,2.00831604418561,6,0
"small-flowered bulrush",0.133333333333333,0.730296743340221,4,0
"small-flowered bulrush ",1.5,8.21583836257749,45,0
"soft-stemmed bulrush",11.7666666666667,22.3123335822378,85,0
"springbank clover",0.0166666666666667,0.0912870929175277,0.5,0
"swamp horsetail",1.7,3.22864335767122,12,0
"water-parsnip",0.0166666666666667,0.0912870929175277,0.5,0
"water-plantain ",0.566666666666667,1.18709536360768,4,0
"water mudwort",0.05,0.152564288314682,0.5,0
"western lilaeopsis",0.35,1.09189806269191,5,0
"yellow iris",0.1,0.547722557505166,3,0
