"","pcMean","pcSD","pcMax","pcMin"
"bare ground",2.9375,4.71124541213184,15,0
"broad-leaved arrowhead",2.5625,3.66912796179147,11,0
"common cattail",1.9375,4.63995330436274,18,0
"common horsetail",1.5625,4.36606229914324,15,0
"common spike-rush ",4.75,7.98749021908634,25,0
"creeping bentgrass",29.375,16.0078105935821,65,0
"jointed rush",0.03125,0.125,0.5,0
"Lyngbye's sedge",45.9375,32.0758865816675,85,0
"marshpepper smartweed",0.09375,0.271952814534679,1,0
"nodding beggarticks ",0.40625,0.879749017239197,3,0
"pointed rush",1.1875,3.74555291868459,15,0
"purple-leaved willowherb",0.0625,0.25,1,0
"purple loosestrife",0.0625,0.25,1,0
"reed canarygrass",10.9375,24.1646263506529,88,0
"small spike-rush",0.125,0.5,2,0
"soft-stemmed bulrush",4.0625,8.16062701839346,33,0
"swamp horsetail",10.25,15.4034628141424,55,0
"water-parsnip",0.9375,1.98221256848671,8,0
"water-plantain",3.03125,2.91243740991402,8,0
"western lilaeopsis",1.03125,2.10925539784383,7,0
"yellow iris",1.5625,6.25,25,0
