"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",7.93333333333333,20.7724634575497,75,0
"Canada thistle ",0.0666666666666667,0.258198889747161,1,0
"colonial bentgrass",1.53333333333333,3.99761833858016,15,0
"common cattail",8.93333333333333,11.8530687205988,35,0
"common rush",0.466666666666667,1.80739222823013,7,0
"common silverweed",3.1,4.58335497830387,15,0
"common spike-rush",2.93333333333333,6.13207802888882,20,0
"creeping bentgrass",1.86666666666667,3.66190166573651,10,0
"emersed bur-reed",0.133333333333333,0.516397779494322,2,0
"European forget-me-not ",4.86666666666667,4.79384526043054,15,0
"European forget-me-not ",0.2,0.774596669241483,3,0
"ground",16.9333333333333,19.2519634125482,68,0
"horehound",1.26666666666667,2.05171240906805,6,0
"jointed rush",1,2.10441712323661,8,0
"log",10.3333333333333,17.3685539601507,50,0
"low clubrush",0.333333333333333,1.29099444873581,5,0
"Lyngbye's sedge",13.2,18.4862883549634,54,0
"nodding beggarticks",0.133333333333333,0.516397779494322,2,0
"persicaria",0.433333333333333,0.820859015793531,2,0
"pigmyweed",0.166666666666667,0.523268118472284,2,0
"pointed rush",0.3,0.797316929278619,3,0
"pond-water starwort",0.933333333333333,1.41252897146858,5,0
"purple-leaved willowherb",0.866666666666667,1.30201309334357,4,0
"purple loosestrife",4.13333333333333,6.39046909374384,22,0
"reed canarygrass",0.666666666666667,1.91485421551268,7,0
"rice cutgrass",3.23333333333333,6.61941588561005,25,0
"skunk cabbage ",0.0666666666666667,0.258198889747161,1,0
"small-flowered bulrush",9.26666666666667,12.5724566679176,37,0
"small bedstraw",2.46666666666667,5.52742082280524,20,0
"small spike-rush",0.0333333333333333,0.129099444873581,0.5,0
"soft-stemmed bulrush",0.2,0.560611910581388,2,0
"spreading rush",1.6,5.15197604253525,20,0
"swamp horsetail",1.6,2.13139793160666,7,0
"three-parted beggarticks",0.333333333333333,0.617213399848368,2,0
"water-parsnip",0.333333333333333,1.29099444873581,5,0
"water-plantain",0.9,1.44172515708488,5,0
"water mudwort",0.0666666666666667,0.175932887637249,0.5,0
"western lilaeopsis",0.0333333333333333,0.129099444873581,0.5,0
"yellow iris",0.466666666666667,1.80739222823013,7,0
"yellow monkey-flower",0.266666666666667,0.593616839704664,2,0
