"","pcMean","pcSD","pcMax","pcMin"
"common cattail",8.86666666666667,13.7470343122054,45,0
"common rush",0.133333333333333,0.351865775274498,1,0
"common spike-rush",0.266666666666667,0.703731550548997,2,0
"European forget-me-not ",12.3,25.2514497462168,92,0
"field mint",0.0333333333333333,0.129099444873581,0.5,0
"ground",11,15.7071412330279,43,0
"Himalayan blackberry ",0.133333333333333,0.516397779494322,2,0
"horehound",1.7,1.77079481750831,5,0
"jointed rush",0.366666666666667,1.04311803651132,4,0
"little western bitter-cress ",0.2,0.560611910581388,2,0
"log",0.666666666666667,2.58198889747161,10,0
"marsh yellow cress ",0.133333333333333,0.351865775274498,1,0
"persicaria",0.8,1.78085051911399,5,0
"pointed rush",0.2,0.774596669241483,3,0
"pond-water starwort",0.266666666666667,1.03279555898864,4,0
"purple-leaved willowherb",0.4,0.9102589898328,3,0
"purple loosestrife",4.8,6.5813589564987,21,0
"reed canarygrass",34,35.0754289251851,100,0
"Sitka sedge",9.13333333333333,17.7517269448302,65,0
"small-flowered bulrush",3,10.3164224142176,40,0
"small bedstraw",1.9,4.89241395281657,19,0
"spotted touch-me-not",8.4,8.56737999624156,25,0
"water mint",8.46666666666667,17.5371714068256,55,0
"western dock",0.2,0.414039335605413,1,0
"wool-grass",0.266666666666667,1.03279555898864,4,0
"yellow iris",4.06666666666667,6.06473019852923,20,0
