"","PC_mean","PC_sd"
"Baltic rush ",0.178571428571429,0.944911182523068
"broad-leaved arrowhead",0.214285714285714,0.956736074026644
"Canadian waterweed",0.0357142857142857,0.131132632078241
"colonial bentgrass",10.5357142857143,18.7033016353662
"common cattail",2.32142857142857,7.48357990897193
"common spike-rush",3.66071428571429,6.92560141983749
"Douglas' aster",0.178571428571429,0.944911182523068
"European forget-me-not ",18.6607142857143,16.81492589351
"flowering quillwort",0.107142857142857,0.249337747181032
"giant mannagrass",0.142857142857143,0.755928946018454
"horehound",0.25,1.00461896222362
"lesser cattail",1.96428571428571,10.3940230077537
"low clubrush",0.178571428571429,0.455710387935098
"Lynbye's sedge",22.8928571428571,32.7270861720406
"narrow-leaved bur-reed",10.25,18.0054004244406
"nodding beggarticks",5.10714285714286,9.91945072297366
"persicaria",0.285714285714286,0.460043706228236
"pigmyweed",0.285714285714286,0.460043706228236
"pointed rush",0.142857142857143,0.755928946018454
"pond-water starwort",0.5,1.87577144623713
"purple-leaved willowherb",0.0535714285714286,0.208134826062593
"purple loosestrife",2.05357142857143,3.24989824830542
"reed canarygrass",9.39285714285714,19.4942333082153
"small-flowered bulrush",3.53571428571429,8.6258961653897
"small bedstraw",0.0357142857142857,0.131132632078241
"soft-stemmed bulrush",0.928571428571429,2.47847879612821
"spreading rush",3.78571428571429,7.25389878748302
"swamp horsetail",0.678571428571429,1.36228488423681
"Ussurian water-milfoil ",0.339285714285714,0.943335015983692
"water-parsnip",0.107142857142857,0.566946709513841
"water-plantain",0.357142857142857,1.0170504089727
"water mudwort",0.0535714285714286,0.157485197087178
"western lilaeopsis",0.339285714285714,0.36141623250996
"yellow iris",2.64285714285714,10.8703275555073
