"","PC_mean","PC_sd"
"Baltic rush ",8.96428571428571,20.9490813877127
"beaked sedge",1.42857142857143,3.71513092665626
"broad-leaved arrowhead",0.5,1.87082869338697
"clustered dock",0.214285714285714,0.801783725737273
"colonial bentgrass",4.71428571428571,13.1525286918148
"common rush",1.07142857142857,4.00891862868637
"common spike-rush",5.82142857142857,12.6089210525679
"Douglas' aster",0.535714285714286,1.86531380855759
"European forget-me-not ",7.85714285714286,7.7643875666864
"jointed rush",0.678571428571429,1.38129179863164
"low clubrush",0.0357142857142857,0.133630620956212
"Lyngbye's sedge",30.3071428571429,26.3363879389397
"nodding beggarticks",0.214285714285714,0.578934223521839
"Pacific water-parsley",0.107142857142857,0.28946711176092
"persicaria",1.25,1.90898684365052
"pigmyweed",0.0714285714285714,0.181568259800641
"pointed rush",1.62857142857143,4.97925366224367
"pond-water starwort",0.178571428571429,0.316661846888325
"purple-leaved willowherb",0.5,1.09192842819834
"purple loosestrife",0.142857142857143,0.534522483824849
"red fescue",0.142857142857143,0.363136519601281
"reed canarygrass",18.7142857142857,27.342355341199
"rice cutgrass",0.285714285714286,1.0690449676497
"skunk cabbage",0.714285714285714,1.63747326125304
"small bedstraw",0.428571428571429,1.32805732697661
"soft-stemmed bulrush",1.35714285714286,1.78054195972172
"spreading rush",9.42857142857143,15.4308097684435
"swamp horsetail",1.21428571428571,2.08210586550368
"tall fescue",0.785714285714286,1.84718377864465
"water-plantain",0.928571428571429,2.16490489093937
"western lilaeopsis",2.17857142857143,2.62830116861958
"yellow iris",1.14285714285714,3.30168122342223
